ApplicationDate,Age,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,LoanApproved
2047-01-22,31,589,Self-Employed,Associate,9,9387,48,Married,2,Own,419,0.3011902663951969,4,1,0.3711062104624392,0,Debt Consolidation,0,23,18,913,456,517826,36106,0.9033070350356958,6,481720,0.209887,0.2039503810159108,287.6292559845584,1
2068-06-27,18,527,Employed,Associate,0,11221,72,Married,2,Mortgage,394,0.1172794184914501,4,1,0.0941777122013208,0,Debt Consolidation,0,20,12,818,1332,39843,14429,0.7060295726938518,7,25414,0.262721,0.2608395921809394,309.7682250706877,0
2022-08-22,41,560,Employed,Associate,17,29141,36,Married,1,Rent,358,0.1794411459182059,6,1,0.348467359545357,0,Home,0,20,22,4479,1021,87429,42426,0.7795143023439866,5,45003,0.234141,0.2659117081524531,1183.305258065683,0
2048-03-16,19,560,Employed,Master,0,22269,48,Married,1,Mortgage,341,0.3524182370424564,2,2,0.2290521461984763,0,Home,0,31,28,2147,786,49637,4850,0.9910405494148836,5,44787,0.237269,0.2847228,782.1522038389049,0
2042-10-28,29,592,Employed,High School,9,13587,36,Divorced,1,Mortgage,502,0.2468464781537766,1,0,0.3755496988051872,0,Auto,0,28,13,2820,487,8169,51100,0.7453399156012832,7,9671,0.202587,0.1905706261521216,498.4374253901765,0
2037-04-14,21,594,Employed,Bachelor,0,33473,24,Married,0,Own,746,0.1793895097788226,3,3,0.5891810001834519,0,Education,0,27,19,5642,3934,255929,6842,0.7545275590256972,1,249087,0.211473,0.2120935977661782,1723.475963196262,1
2036-12-11,39,463,Employed,Associate,16,21609,36,Married,0,Own,146,0.0925333401941726,1,1,0.0238259463609694,0,Auto,0,14,19,3908,116,59837,24274,0.8513917029079349,3,35563,0.275109,0.2629794974603057,874.0733841792271,0
2020-09-26,46,575,Employed,Associate,28,23509,72,Divorced,1,Rent,438,0.3051176988600561,0,0,0.363538082839812,0,Home,0,19,8,714,6274,34992,9330,0.8531624707526488,2,25662,0.251009,0.2404718271541031,619.5909908963291,0
2050-03-23,27,569,Self-Employed,Master,4,12845,48,Married,0,Other,719,0.0801497045559727,1,2,0.4654769781233342,0,Auto,0,24,1,5244,1358,41815,14855,0.8435357040075396,5,26960,0.223345,0.2047182568707113,394.1143271050046,1
2056-07-16,34,524,Unemployed,Associate,6,36497,36,Divorced,3,Mortgage,563,0.09696122798579,3,1,0.3477524179395289,0,Home,0,22,3,1102,157,33993,54126,0.597075414247256,6,10438,0.259497,0.2780157307376985,1505.7370450024057,0
2035-03-24,57,568,Employed,High School,33,24182,60,Married,3,Other,270,0.3271546165150846,2,1,0.095193239268285,0,Auto,0,25,9,3372,235,112879,30661,0.8085515572882652,7,82218,0.245182,0.2537007891361324,715.0298963888372,0
2064-07-28,34,622,Self-Employed,Bachelor,12,24374,60,Married,1,Own,125,0.1189597317372413,5,0,0.1059101185255824,0,Debt Consolidation,1,30,25,3740,3376,39855,34891,0.7570384048302808,5,4964,0.218374,0.2457912850416367,709.4075869094083,0
2066-03-06,32,550,Employed,Associate,9,21114,72,Married,0,Mortgage,415,0.4344259132561372,4,1,0.2968251297287774,0,Debt Consolidation,0,20,26,4347,1791,229747,15847,0.7874535101696156,5,213900,0.2611139999999999,0.2266512528150285,538.8807794443153,1
2027-11-15,30,475,Employed,Master,6,11819,84,Married,1,Rent,431,0.217989151801155,5,1,0.2290467525613126,0,Auto,0,20,3,763,419,45586,29588,0.7169602427141577,5,15998,0.299319,0.3153742011882766,350.24483371148455,0
2069-09-11,27,574,Employed,Doctorate,4,62810,60,Married,1,Own,293,0.4918501147433844,5,1,0.1589217990563257,0,Debt Consolidation,0,26,10,1022,1699,68445,81079,0.8176910995735417,4,10730,0.28081,0.3064521780633475,2057.0797614914622,0
2061-10-24,29,563,Employed,Bachelor,6,11762,48,Married,2,Mortgage,507,0.1424270789352771,0,1,0.6234440238230413,0,Debt Consolidation,0,19,22,3177,9142,42320,7241,0.8475326789850053,8,35079,0.225262,0.1891098751680993,351.13295913583573,1
2035-06-19,50,597,Unemployed,High School,28,18781,60,Single,3,Own,191,0.4201980588698983,6,1,0.2560660395096922,0,Auto,0,27,21,2783,225,50646,13720,0.9177087799975152,7,36926,0.225281,0.2147936181838948,513.1665965476844,0
2027-06-28,23,435,Employed,High School,2,36391,120,Married,0,Own,384,0.5016753460360677,1,2,0.2754514833055566,0,Debt Consolidation,0,25,5,4488,835,24906,6225,0.940025188386129,6,18681,0.373891,0.3517295426900361,1101.0217654738071,0
2052-04-30,26,596,Unemployed,Associate,1,42192,36,Married,2,Own,349,0.2537742216783235,4,1,0.4994035608491147,0,Auto,0,37,24,1342,1379,125111,20749,0.6373443851469996,6,104362,0.229192,0.2334033991696021,1640.734284019559,0
2021-12-13,42,550,Employed,Bachelor,19,65027,36,Single,0,Rent,270,0.493115300912424,2,0,0.1004465703451263,0,Home,0,20,20,1178,2552,15182,53462,0.8833939723756571,2,4510,0.275027,0.2814093410194428,2694.703610956331,0
2060-05-14,29,587,Employed,Master,4,26672,72,Single,0,Mortgage,352,0.5561757486478038,0,2,0.6056543742459886,0,Auto,0,21,24,4929,228,77263,166105,0.9777858621383244,3,2818,0.248172,0.2429716524829472,707.008514852773,0
2057-03-26,31,545,Employed,Associate,10,13059,24,Single,0,Other,1687,0.4427889090365702,2,1,0.1821521602502088,0,Home,0,25,14,2265,2095,103085,84326,0.7497105325600312,5,18759,0.2155589999999999,0.2203210956504395,677.6839110859809,0
2027-08-26,33,501,Employed,Master,10,56242,72,Widowed,0,Rent,240,0.3005112406968718,4,2,0.6467660751740224,0,Debt Consolidation,0,28,24,3175,1832,107819,9822,0.7936004873401418,2,97997,0.3207419999999999,0.3335335292833708,1815.4022064367844,0
2019-12-22,43,620,Employed,High School,19,15303,72,Married,1,Mortgage,727,0.2939029924115942,4,2,0.2783910800386051,0,Home,0,28,5,2049,441,122500,3867,0.9097816049408192,9,118633,0.220303,0.2162156349826186,381.0751309070216,0
2039-02-24,59,608,Employed,High School,40,39680,24,Single,3,Own,222,0.4141993367548979,0,2,0.2740776075886122,0,Education,0,32,16,1160,1454,117294,30792,0.7678271351366157,2,86502,0.2106799999999999,0.2153670487837357,2049.4581295987336,0
2042-05-14,47,529,Employed,Bachelor,24,12571,36,Married,1,Mortgage,435,0.2966123054277879,2,0,0.169682845771316,0,Debt Consolidation,0,27,18,7115,573,15012,59615,0.8064411200567195,5,8340,0.233071,0.2508498200381841,500.3859600017725,0
2061-12-06,47,503,Employed,High School,23,38199,36,Married,0,Rent,425,0.1129625087489002,2,0,0.3473556845064331,0,Home,1,18,29,907,835,85069,24792,0.9514929435896392,4,60277,0.271699,0.3164384211470886,1656.1915802250755,0
2052-11-15,32,519,Employed,Bachelor,9,13779,120,Married,1,Mortgage,266,0.293634413705504,2,0,0.0122793336058861,0,Education,1,22,5,798,449,211206,38452,0.8362471989451403,6,172754,0.3092789999999999,0.3011701355271689,364.43062184057067,0
2069-09-29,36,629,Employed,High School,15,15011,36,Divorced,0,Rent,272,0.6866570581873702,5,1,0.4290520060165546,0,Home,0,18,27,3623,2419,83841,9664,0.5655842572546569,4,74177,0.185511,0.196546414073322,555.2245842896508,0
2055-04-16,30,544,Employed,High School,4,19867,60,Single,0,Own,388,0.7442724495332104,1,3,0.3062943192592441,0,Auto,0,19,13,6040,6863,72147,1519,0.8740207791858948,5,70628,0.252867,0.2806981871929987,619.4124268929868,0
2023-10-21,37,537,Employed,Associate,16,44022,12,Married,0,Rent,617,0.1316023282157243,1,0,0.2682919889653751,0,Debt Consolidation,0,24,4,4398,972,39886,26121,0.7458715210598195,2,13765,0.240522,0.2770552635517995,4242.046869769003,0
2038-02-04,54,639,Self-Employed,Bachelor,31,22831,36,Single,2,Mortgage,471,0.2798333121295636,4,0,0.3131860257930652,0,Debt Consolidation,0,23,29,1538,8246,18108,94708,0.929636088860346,4,4179,0.188331,0.212265964990377,862.8179818288786,1
2040-08-27,26,537,Employed,High School,3,26987,36,Widowed,0,Own,380,0.074396614305261,3,3,0.0935040995639284,0,Debt Consolidation,0,25,24,8694,742,92183,26445,0.8960751729789969,4,65738,0.243487,0.215443059851718,1024.294614356175,0
2019-02-16,26,617,Employed,Associate,4,66228,24,Married,3,Own,362,0.3150731565260343,3,1,0.3009470971654895,0,Home,1,18,10,2831,2332,72333,4726,0.3174312066291725,5,67607,0.232728,0.255335320217564,3552.4424917573524,0
2044-07-06,30,571,Employed,High School,7,22733,60,Divorced,2,Mortgage,973,0.3904453628369976,3,0,0.1777524184178935,0,Education,0,15,28,4318,1263,159853,14706,0.8708511081129277,3,145147,0.242233,0.2530690974049008,671.3401769875018,0
2037-08-21,37,597,Employed,Bachelor,13,19832,12,Married,0,Other,295,0.516037309445492,3,0,0.3108879429658523,0,Auto,0,29,8,86,322,34050,6377,0.8531839191314877,3,27673,0.186332,0.1847082955446858,1822.64441171994,1
2068-05-07,41,642,Employed,Master,15,15550,108,Single,2,Mortgage,578,0.1064599150941826,10,1,0.0799998901132796,0,Home,0,23,15,5592,2483,40065,27361,0.9369532467912088,7,12704,0.23955,0.2601878595674307,374.0412645803086,0
2031-01-18,42,497,Employed,Bachelor,21,16339,48,Married,3,Rent,492,0.086810988970052,4,1,0.5055333615806025,0,Home,0,23,17,704,232,4771,20476,0.8051574612414852,8,2755,0.262839,0.2103199032945785,506.22966850208377,1
2023-12-09,37,595,Employed,High School,14,32380,48,Married,1,Rent,343,0.1403573202604739,7,2,0.2865885674982574,0,Home,0,21,5,8685,4910,106469,10326,0.9233926648095636,3,96143,0.22988,0.2382475795737695,1052.512912431958,0
2053-02-10,33,639,Employed,Bachelor,11,33110,60,Married,1,Mortgage,362,0.1847259384175796,2,0,0.3577399659433375,0,Auto,0,25,19,10225,497,37635,28089,0.4719045102201923,4,9546,0.21861,0.2025326939031299,881.8849681158056,0
2070-04-01,38,595,Employed,Master,17,27928,60,Married,1,Other,346,0.2460840071054824,1,2,0.0693389341791263,1,Other,0,19,23,2339,368,10627,3056,0.9412704448312904,7,7571,0.235428,0.2439329665048606,809.8199217412763,0
2043-01-18,33,638,Employed,Doctorate,9,18343,24,Single,4,Mortgage,446,0.2170237409889543,2,2,0.3307999763775547,0,Other,0,20,23,8627,17673,73043,16766,0.7743946549060683,6,56277,0.174343,0.1752363709552973,911.5414062193718,1
2022-01-08,25,588,Employed,High School,2,29517,48,Married,1,Own,262,0.3646320761328685,1,1,0.5910603460131623,0,Debt Consolidation,0,25,12,12535,1115,105055,65758,0.708481793748219,8,39297,0.230517,0.2382215339413271,959.4085734891768,0
2054-01-23,53,534,Self-Employed,High School,31,18233,48,Divorced,1,Rent,548,0.0576548643037873,5,1,0.3289470587393954,0,Education,0,16,13,3226,802,40542,12831,0.7110568351644022,3,27711,0.246233,0.2441471503972931,598.6172505537276,0
2038-04-21,18,494,Employed,Associate,0,14249,48,Single,1,Rent,233,0.2267617667840603,3,1,0.2112456692343278,0,Home,1,27,26,5949,3059,89642,55806,0.783463973914532,5,33836,0.262249,0.2696238170833969,488.1847838999316,0
2069-03-25,49,497,Employed,Associate,27,12658,36,Married,0,Mortgage,1065,0.3104952615893915,5,1,0.1464725345883347,0,Other,0,28,26,12805,259,38377,41336,0.764838059654142,2,10879,0.249158,0.2705064913865601,517.1095851671291,1
2061-03-17,39,554,Employed,High School,17,79993,36,Married,5,Mortgage,282,0.267430935340142,4,1,0.2446989245345725,0,Auto,0,22,4,1329,2862,215466,9686,0.9285713412469124,6,205780,0.2879929999999999,0.3000617526277124,3396.099545391714,0
2035-03-04,48,585,Employed,High School,23,52418,36,Widowed,0,Mortgage,330,0.0524508933811314,0,1,0.1386459237975013,0,Home,0,17,17,1057,282,59687,27261,0.8926205776270504,6,32426,0.244918,0.257114477716965,2103.9048080238786,0
2024-02-19,41,630,Employed,Doctorate,20,25822,60,Married,2,Rent,110,0.339547553951029,3,2,0.578440453952334,0,Other,1,21,1,7160,1401,183131,4728,0.9036044447767771,3,178403,0.215822,0.2350283685182338,735.4136408758995,0
2037-03-07,49,623,Employed,Bachelor,27,6522,48,Divorced,0,Rent,513,0.4992510265066939,2,1,0.279053203379053,0,Auto,1,24,17,1208,2178,36006,31237,0.7520815151432654,6,4769,0.190022,0.1706873889396646,188.42460852007093,0
2069-03-19,55,491,Employed,Bachelor,33,33907,84,Single,2,Rent,198,0.2752266546488097,1,2,0.1569962614090015,0,Debt Consolidation,0,37,29,27521,1895,29416,2087,0.6383903120803255,5,27329,0.313407,0.3760884,1148.6509928643088,1
2071-03-05,42,609,Unemployed,Master,19,22455,36,Single,2,Other,260,0.1218608366590301,2,0,0.1477340104420904,0,Debt Consolidation,0,22,27,406,1776,48722,16938,0.7946510945169183,4,31784,0.202955,0.1938563527149951,827.4956885383822,0
2060-07-24,35,613,Self-Employed,Bachelor,12,20065,72,Married,1,Mortgage,312,0.183718793276336,3,0,0.1814148484928006,0,Auto,0,33,25,5587,328,17707,78159,0.7474990842303562,4,3146,0.228565,0.222010975832691,506.5536111243922,0
2047-10-01,57,545,Employed,Associate,35,13276,72,Married,1,Mortgage,195,0.0262401779720074,3,0,0.2250479770887842,0,Home,0,24,21,14496,3570,39826,9726,0.7575979669359731,3,30100,0.255776,0.3069312,405.3483036831425,0
2043-08-24,36,582,Employed,Master,10,26417,48,Married,2,Rent,488,0.162294943733436,5,2,0.1222017214245305,0,Home,0,27,9,12288,2345,14633,25526,0.9609180601496252,9,9881,0.230417,0.2220667515460058,835.262947755811,1
2052-04-28,48,647,Employed,Associate,28,17900,24,Married,1,Mortgage,266,0.102854898313285,2,1,0.3209488187355745,0,Other,0,27,2,1756,2788,133561,19282,0.6656911368197417,5,114279,0.1694,0.1551262093304595,872.2769541463377,1
2031-08-11,58,622,Unemployed,High School,37,9241,60,Widowed,3,Own,143,0.2093728147808672,4,1,0.2059599590934701,0,Education,0,26,1,5631,1058,56113,200907,0.7546266112723292,6,5841,0.203241,0.1742100856590061,231.75975696683145,1
2071-12-10,50,648,Employed,Master,25,16078,36,Single,3,Rent,539,0.2949425410829969,3,0,0.5492899905957612,0,Home,0,18,25,4045,641,55354,18351,0.9604366159852876,4,37003,0.177078,0.1969766659941816,595.0422086921271,0
2019-02-19,43,574,Employed,Associate,22,31311,24,Single,1,Rent,538,0.3494580962913112,1,1,0.278403943852734,0,Home,0,23,16,1576,207,63680,40187,0.758594686128477,10,23493,0.219311,0.2323262927885754,1643.4790559058115,0
2034-01-30,29,569,Employed,High School,8,11948,48,Married,0,Rent,578,0.0388202424691242,4,0,0.4878877916040941,0,Home,0,26,28,1259,2813,78117,30705,0.7373354633163524,6,47412,0.222448,0.2185972664041653,375.52532283463694,0
2059-06-23,58,657,Employed,Associate,38,42410,60,Single,0,Rent,1531,0.4178369601231085,2,1,0.2197016111339973,0,Home,0,25,10,3583,191,76721,18444,0.6448940928241217,5,58277,0.21891,0.175128,1065.7267076736432,1
2061-11-15,30,563,Employed,Bachelor,7,13262,24,Single,3,Rent,296,0.2463202001153373,1,2,0.3136330740942961,0,Home,0,23,17,5632,582,51432,10575,0.7444308836109477,3,40857,0.2067619999999999,0.1924930035949253,670.1265143239868,0
2020-05-13,61,588,Employed,Bachelor,40,26054,84,Married,2,Mortgage,372,0.4599737946198002,2,1,0.1630678435941389,0,Home,0,25,11,4890,574,24797,8140,0.5975611449795175,4,16657,0.257054,0.2691592057890211,691.7166264149638,1
2052-03-30,34,580,Employed,High School,14,32639,24,Widowed,2,Mortgage,547,0.6102221767814499,1,1,0.262177096899328,0,Debt Consolidation,1,28,20,2629,4159,66749,10517,0.8913208261692392,7,56232,0.217639,0.2446233167422849,1733.2004882490369,0
2048-12-11,31,611,Employed,High School,9,24003,48,Single,0,Own,769,0.4970834314818971,5,1,0.3392829572329278,0,Debt Consolidation,0,24,9,2813,796,50226,25393,0.7617968326085292,3,24833,0.213503,0.2399337223469489,782.4539127343284,0
2043-01-13,35,585,Employed,Associate,14,18932,24,Married,0,Own,142,0.4611533923266499,5,1,0.1779032509446482,0,Debt Consolidation,1,24,16,2079,3154,122444,19868,0.7024103609395609,3,102576,0.201432,0.2064917966603139,969.5739715175836,0
2068-02-10,24,534,Employed,Bachelor,1,41470,48,Single,2,Mortgage,395,0.076980943397001,3,0,0.2955099847043682,0,Debt Consolidation,0,28,23,15065,182,57371,17033,0.9336943953823056,9,40338,0.26947,0.2839925297711915,1454.8081697465384,0
2065-07-13,28,534,Self-Employed,Master,5,18681,72,Single,0,Rent,369,0.1632948065393201,2,0,0.3313666065805885,0,Auto,0,19,16,476,1003,15611,181910,0.8212989690340958,4,5593,0.266681,0.3028336568002537,565.4193178871508,0
2022-10-12,42,588,Employed,Bachelor,21,23324,36,Single,1,Own,588,0.0910469622703281,5,2,0.2760447798716535,0,Debt Consolidation,1,24,25,8084,1904,9988,45164,0.6152616650893508,4,2677,0.214324,0.191703618406804,856.9753430485531,0
2034-12-13,52,608,Employed,High School,29,29158,72,Married,5,Mortgage,298,0.2735653823418231,6,0,0.3497702176614192,0,Debt Consolidation,0,22,20,2754,7726,102685,37980,0.7250984414884666,6,64705,0.2401579999999999,0.2201511601137983,732.8892647393292,0
2061-04-15,18,571,Employed,Bachelor,0,14161,48,Married,1,Other,115,0.1270271543859703,3,2,0.5704948776572722,0,Auto,0,17,24,1592,1953,116537,59439,0.8068248062230431,2,57098,0.223661,0.1984288582695351,429.73983937055374,0
2026-12-05,37,581,Employed,Bachelor,11,17293,48,Divorced,5,Mortgage,223,0.2814010831682239,0,2,0.1745066073381373,0,Education,0,27,4,3501,1872,120227,3861,0.935944593198228,2,116366,0.221793,0.2124972216699528,537.8152217433066,1
2059-03-05,26,549,Employed,Bachelor,4,11881,36,Divorced,3,Own,474,0.1673118348356684,3,1,0.314535813836293,0,Education,0,33,25,5449,561,75711,71567,0.6847797410455737,11,4144,0.222381,0.2156355304658445,451.0625923654381,1
2041-08-10,36,536,Employed,High School,11,10289,96,Married,2,Own,371,0.1019932982441884,2,1,0.09616670147138,0,Home,0,33,5,23081,896,70027,7279,0.7704999282858312,2,62748,0.277289,0.3021462166612259,285.2773092535709,0
2055-01-31,44,606,Employed,Bachelor,19,11445,120,Divorced,4,Rent,534,0.3256280727045811,4,2,0.3720103250573225,0,Debt Consolidation,0,35,10,3458,989,104949,8850,0.7138051450794539,9,96099,0.263445,0.2662938480307828,273.6249989244123,0
2052-05-18,40,538,Employed,Associate,16,47784,60,Divorced,1,Mortgage,550,0.331907478038726,4,0,0.285923780591752,0,Education,0,26,9,2319,2734,88467,6740,0.8792540700592508,8,81727,0.283784,0.2760706038381535,1476.487182724229,0
2045-06-14,42,625,Employed,High School,17,23629,36,Single,4,Own,328,0.5858781745437638,5,1,0.0541981522459412,0,Home,0,30,21,3266,5851,493650,37168,0.8443704624066671,4,456482,0.196129,0.2064610329879564,885.9364581243908,1
2042-09-14,27,529,Employed,High School,9,11918,60,Married,4,Rent,1405,0.2711898442609396,1,2,0.0398653798319635,0,Home,0,26,17,1091,548,35736,12636,0.8581100506488475,5,23100,0.252418,0.2435427446710281,345.3117473247321,0
2055-12-22,48,600,Employed,High School,28,80261,36,Divorced,3,Rent,670,0.1422361137892905,5,0,0.1799489063020317,0,Education,0,23,10,5551,3605,115070,36908,0.8436841901435355,4,78162,0.2652609999999999,0.2606881395345324,3236.708350810874,0
2043-07-30,40,660,Employed,Bachelor,19,58135,72,Single,2,Other,1110,0.135936944576633,4,1,0.2479759148453131,0,Auto,0,23,10,3903,280,219024,7971,0.9136571732798114,10,211053,0.243135,0.2762492932246376,1660.914411200852,0
2066-11-08,56,598,Employed,Associate,32,22826,84,Married,3,Mortgage,692,0.6988139882813661,3,0,0.159656958831539,1,Debt Consolidation,0,25,19,2006,5266,65769,10503,0.719159150850934,8,55266,0.248826,0.2703084474973441,607.7281628379523,0
2018-01-16,33,605,Employed,Doctorate,11,12652,36,Single,1,Mortgage,336,0.4234308630650563,4,0,0.0441568040602275,0,Auto,0,21,15,242,131,261435,11144,0.8372135908452825,2,250291,0.195152,0.2164127524804118,480.8408279537298,1
2057-10-24,56,586,Employed,Master,29,7816,84,Single,1,Rent,557,0.3729857677817292,4,2,0.3813892738873311,1,Debt Consolidation,0,21,18,763,1712,67169,21050,0.5861149071875233,7,46119,0.239816,0.2504680919914234,198.0697273339715,0
2035-10-30,50,629,Employed,High School,26,14656,48,Divorced,3,Rent,828,0.2881461065023477,1,2,0.3417848304599584,0,Education,0,17,15,6836,787,46896,42759,0.8760314339890788,5,4137,0.195156,0.2014790854852808,447.1431703570113,0
2071-10-28,18,546,Employed,Bachelor,0,32093,48,Married,3,Own,435,0.1316845599294965,6,2,0.1356845333903021,0,Auto,0,40,17,1357,1725,10064,40686,0.8824068633019373,1,9095,0.254093,0.3049116,1164.7262201959004,0
2033-07-15,24,594,Employed,Bachelor,4,31210,60,Single,0,Own,347,0.4173803233541746,3,2,0.1575003270495065,0,Home,0,30,23,3804,989,105653,2291,0.8576210569154403,6,103362,0.2392099999999999,0.2399915186224496,897.8328490639108,0
2070-11-07,37,582,Employed,Doctorate,18,26331,84,Single,2,Own,298,0.2401688246347962,2,1,0.3081289070202104,0,Home,1,21,1,2635,989,4144,25325,0.3432303927174088,6,2813,0.260331,0.2528812583239956,671.3390438938105,0
2059-09-05,32,605,Employed,Associate,12,15489,84,Married,1,Mortgage,630,0.2269035278683848,3,0,0.2399132002506768,0,Debt Consolidation,0,24,23,3586,415,29670,5137,0.8756916397214334,4,24533,0.237989,0.2416838039590309,383.8541618209013,0
2053-12-23,40,462,Employed,Bachelor,16,28955,12,Married,3,Rent,449,0.4778221248028448,2,0,0.0854735739790064,0,Debt Consolidation,0,23,26,2593,297,18339,53253,0.9401992530314928,4,10838,0.262955,0.210364,2696.615180571388,1
2045-07-07,45,561,Self-Employed,Associate,22,14385,48,Single,1,Rent,284,0.1464949553461317,4,1,0.1276381802242243,0,Debt Consolidation,0,35,20,2054,355,12637,10229,0.7839845424581087,6,2408,0.228885,0.183108,424.8991720053123,1
2062-02-28,57,573,Employed,Bachelor,34,29039,72,Single,1,Rent,264,0.3552155967556858,3,2,0.1118357987703769,0,Home,0,23,28,1242,2409,147798,32367,0.7978840597498585,3,115431,0.257539,0.3090468,890.6199972314263,0
2033-03-27,40,528,Self-Employed,Bachelor,15,19563,48,Married,0,Other,503,0.0772325490291764,4,1,0.0519778394233982,0,Education,1,19,20,2127,8224,29702,81233,0.9444835154429284,2,8695,0.250563,0.2604065584529283,660.0592225575614,0
2048-04-26,40,520,Employed,Master,20,22037,36,Married,3,Mortgage,522,0.4258200564348531,2,3,0.1900106816375084,0,Debt Consolidation,0,26,23,2377,775,28072,29998,0.855194996698172,6,1556,0.247037,0.2267658134131947,849.3358818196082,1
2061-03-25,26,582,Employed,Associate,0,19608,48,Married,4,Rent,380,0.3057410339969132,0,0,0.5215878755693288,0,Debt Consolidation,0,28,3,1165,645,70369,10842,0.9754811227683138,7,59527,0.223608,0.2400252884772704,639.2842044185601,0
2036-07-07,43,578,Employed,Associate,18,29255,60,Married,2,Rent,300,0.0751042340383123,2,1,0.5747295145975684,0,Education,0,22,2,2877,1897,92339,5231,0.8841930153994438,4,87108,0.245255,0.2426859966261088,846.1740378184841,0
2038-03-05,24,569,Employed,Bachelor,0,53737,48,Divorced,1,Mortgage,477,0.328942130536038,2,0,0.1938961055614825,0,Home,0,16,12,311,1919,16265,159261,0.8879216722783364,6,10921,0.264237,0.2793264348913413,1870.7792691311251,0
2026-09-23,50,653,Employed,Bachelor,26,17282,72,Married,3,Rent,776,0.2762499203031321,4,1,0.1729350631623972,0,Home,0,37,12,642,1668,127792,30726,0.5323287748407856,4,97066,0.205782,0.1708974501025442,385.32358062734266,1
2069-04-10,21,563,Employed,High School,0,22554,72,Married,0,Other,282,0.6274040772361834,3,0,0.276924042071618,0,Auto,0,17,26,2343,694,189945,82638,0.7420258959248276,3,107307,0.256054,0.2640322329249808,627.1044494033501,0
2063-08-14,37,631,Employed,Master,16,32301,36,Divorced,1,Mortgage,522,0.5632408106832197,1,0,0.2821673908166415,0,Auto,1,26,21,7368,930,78487,6406,0.8660436067914202,4,72081,0.201801,0.2092546137493414,1215.7065096295337,0
